id,team,point,link,result in all time
1,Бристоль Сити - Ипсвич Таун,1.47,https://www.myscore.com.ua/match/joyt5Pqh/#match-summary
2,Ковентри Сити - Флитвуд,2.37,https://www.myscore.com.ua/match/xYN1vUM6/#match-summary
3,Сканторп Юнайтед - Саутенд Юнайтед,1.52,https://www.myscore.com.ua/match/lUQl0BqQ/#match-summary
4,Линкольн - Олдхэм,2.77,https://www.myscore.com.ua/match/INXp30n1/#match-summary
5,Стивенейдж - Свиндон Таун,2.05,https://www.myscore.com.ua/match/6qEuPs9K/#match-summary
6,Ульм - Эльфсберг,2.67,https://www.myscore.com.ua/match/p0jKkqB0/#match-summary
7,Steinbach Haiger - Штутгарт II,2.16,https://www.myscore.com.ua/match/M1ouamlE/#match-summary
8,Хибернианс - Слима,4.29,https://www.myscore.com.ua/match/zkPTzky9/#match-summary
9,Насьональ Асунсьон - Хенераль Диас,0.63,https://www.myscore.com.ua/match/dfKIeXBA/#match-summary
11,Росс Каунти - Фолкирк,4.31,https://www.myscore.com.ua/match/UwuzsLOu/#match-summary
