id,country,team,strategy 2,strategy 1,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,ИСПАНИЯ: Примера,Бетис - Вильярреал,"{'БЕТИС': 4, 'ВИЛЬЯРРЕАЛ': 5}","{'БЕТИС': 0.38, 'ВИЛЬЯРРЕАЛ': 0.58}",07.04.2019 21:45,https://www.myscore.com.ua/match/hUNnq1r1/#match-summary,,,,,
2,ИТАЛИЯ: Серия А,Удинезе - Эмполи,"{'УДИНЕЗЕ': 4, 'ЭМПОЛИ': 6}","{'УДИНЕЗЕ': 1.9, 'ЭМПОЛИ': 1.88}",07.04.2019 16:00,https://www.myscore.com.ua/match/8prwb4Ak/#match-summary,,,,,
3,БЕЛЬГИЯ: Вторая лига - Понижение (плей-офф),КСВ Руселаре - Хеверли Лувен,"{'КСВ РУСЕЛАРЕ': 3, 'ХЕВЕРЛИ ЛУВЕН': 5}","{'КСВ РУСЕЛАРЕ': 0.6, 'ХЕВЕРЛИ ЛУВЕН': 0.62}",07.04.2019 21:00,https://www.myscore.com.ua/match/vgfWGLc2/#match-summary,,,,,
4,БОЛИВИЯ: Division Profesional - Апертура,Реал Потоси - Стронгест,"{'РЕАЛ ПОТОСИ': 6, 'СТРОНГЕСТ': 7}","{'РЕАЛ ПОТОСИ': 2.17, 'СТРОНГЕСТ': 1.38}",07.04.2019 22:00,https://www.myscore.com.ua/match/29WujkLr/#match-summary,,,,,
5,БОЛИВИЯ: Division Profesional - Апертура,Боливар - Сан-Хосе,"{'БОЛИВАР': 9, 'САН-ХОСЕ': 4}","{'БОЛИВАР': 1.9, 'САН-ХОСЕ': 1.71}",07.04.2019 23:00,https://www.myscore.com.ua/match/K4HvBjc8/#match-summary,,,,,
6,БРАЗИЛИЯ: Чемпионат Кариока - Плей-офф,Васко да Гама - Бангу,"{'ВАСКО ДА ГАМА': 6, 'БАНГУ': 3}","{'ВАСКО ДА ГАМА': 1.17, 'БАНГУ': 0.62}",07.04.2019 22:00,https://www.myscore.com.ua/match/4psrNcCM/#match-summary,,,,,
7,ДАНИЯ: Первый дивизион,Фредерисия - Люнгбю,"{'ФРЕДЕРИСИЯ': 3, 'ЛЮНГБЮ': 7}","{'ФРЕДЕРИСИЯ': 0.85, 'ЛЮНГБЮ': 0.88}",07.04.2019 14:45,https://www.myscore.com.ua/match/KWqryAQ4/#match-summary,,,,,
8,ИСПАНИЯ: Сегунда,Эльче - Кордоба,"{'ЭЛЬЧЕ': 7, 'КОРДОБА': 7}","{'ЭЛЬЧЕ': 0.6, 'КОРДОБА': 2.5}",07.04.2019 21:00,https://www.myscore.com.ua/match/GSd7vzb1/#match-summary,,,,,
9,ИТАЛИЯ: Серия В,Асколи - Пескара,"{'АСКОЛИ': 7, 'ПЕСКАРА': 5}","{'АСКОЛИ': 2.0, 'ПЕСКАРА': 1.33}",07.04.2019 16:00,https://www.myscore.com.ua/match/vwQOIJXa/#match-summary,,,,,
10,ИТАЛИЯ: Серия C - Группа A,Про Пьяченца - Понтедера,"{'ПРО ПЬЯЧЕНЦА': 0, 'ПОНТЕДЕРА': 1}","{'ПРО ПЬЯЧЕНЦА': 3.0, 'ПОНТЕДЕРА': 1.33}",07.04.2019 17:30,https://www.myscore.com.ua/match/EmMVwU9r/#match-summary,,,,,
11,КИТАЙ: Суперлига,Далянь Ифан - Тяньцзинь Тэда,"{'ДАЛЯНЬ ИФАН': 5, 'ТЯНЬЦЗИНЬ ТЭДА': 6}","{'ДАЛЯНЬ ИФАН': 1.08, 'ТЯНЬЦЗИНЬ ТЭДА': 2.1}",07.04.2019 10:30,https://www.myscore.com.ua/match/pl0TA5Nb/#match-summary,,,,,
12,КЫРГЫЗСТАН: Premier Liga,Дордой Бишкек - Akademiy Futbola,"{'ДОРДОЙ БИШКЕК': 8, 'AKADEMIY FUTBOLA': 3}","{'ДОРДОЙ БИШКЕК': 0.41, 'AKADEMIY FUTBOLA': 1.78}",07.04.2019 13:30,https://www.myscore.com.ua/match/UkRhco5g/#match-summary,,,,,
13,ЛЮКСЕМБУРГ: Национальный дивизион,Расинг Люксембург - Мондорф,"{'РАСИНГ ЛЮКСЕМБУРГ': 3, 'МОНДОРФ': 6}","{'РАСИНГ ЛЮКСЕМБУРГ': 1.25, 'МОНДОРФ': 1.33}",07.04.2019 17:00,https://www.myscore.com.ua/match/W4CThFR1/#match-summary,,,,,
14,МЕКСИКА: Высший дивизион - Клаусура,Тигрес - Пумас,"{'ТИГРЕС': 4, 'ПУМАС': 4}","{'ТИГРЕС': 1.67, 'ПУМАС': 2.5}",07.04.2019 04:00,https://www.myscore.com.ua/match/AJiUoVZ8/#match-summary,,,,,
15,НИГЕРИЯ: НПФЛ,Насарава - Ifeanyi Ubah,"{'НАСАРАВА': 5, 'IFEANYI UBAH': 3}","{'НАСАРАВА': 4, 'IFEANYI UBAH': 2.17}",07.04.2019 18:00,https://www.myscore.com.ua/match/hlQRDvNI/#match-summary,,,,,
16,НИДЕРЛАНДЫ: Высшая лига,Эммен - Херенвен,"{'ЭММЕН': 2, 'ХЕРЕНВЕН': 7}","{'ЭММЕН': 1.17, 'ХЕРЕНВЕН': 2.42}",07.04.2019 13:15,https://www.myscore.com.ua/match/8vPl4fK6/#match-summary,,,,,
17,НИДЕРЛАНДЫ: Высшая лига,Венло - Фейеноорд,"{'ВЕНЛО': 6, 'ФЕЙЕНООРД': 5}","{'ВЕНЛО': 0.83, 'ФЕЙЕНООРД': 0.95}",07.04.2019 15:30,https://www.myscore.com.ua/match/46Ic2YlJ/#match-summary,,,,,
18,НИДЕРЛАНДЫ: Высшая лига,Витесс - ПСВ,"{'ВИТЕСС': 7, 'ПСВ': 5}","{'ВИТЕСС': 6.5, 'ПСВ': 0.57}",07.04.2019 17:45,https://www.myscore.com.ua/match/I96uRHRJ/#match-summary,,,,,
19,НОРВЕГИЯ: Высшая лига,Тромсё - Викинг,"{'ТРОМСЁ': 6, 'ВИКИНГ': 7}","{'ТРОМСЁ': 2.33, 'ВИКИНГ': 0.47}",07.04.2019 19:00,https://www.myscore.com.ua/match/MmEt9DMi/#match-summary,,,,,
20,НОРВЕГИЯ: ОБОС-Лига,Ерв - Стреммен,"{'ЕРВ': 2, 'СТРЕММЕН': 3}","{'ЕРВ': 0.88, 'СТРЕММЕН': 3.25}",07.04.2019 16:00,https://www.myscore.com.ua/match/YobCfnx2/#match-summary,,,,,
21,НОРВЕГИЯ: ОБОС-Лига,Нотодден - Шейд,"{'НОТОДДЕН': 4, 'ШЕЙД': 7}","{'НОТОДДЕН': 5.4, 'ШЕЙД': 3.12}",07.04.2019 19:00,https://www.myscore.com.ua/match/rHu3H9qF/#match-summary,,,,,
