id,team,point,link,result in all time
1,Боруссия М - Вердер,2.13,https://www.myscore.com.ua/match/biGs5BPg/#match-summary,
2,Бетис - Вильярреал,2.4,https://www.myscore.com.ua/match/hUNnq1r1/#match-summary,
3,Удинезе - Эмполи,4.75,https://www.myscore.com.ua/match/8prwb4Ak/#match-summary,
4,КСВ Руселаре - Хеверли Лувен,1.71,https://www.myscore.com.ua/match/vgfWGLc2/#match-summary,
5,Реал Потоси - Стронгест,2.98,https://www.myscore.com.ua/match/29WujkLr/#match-summary,
6,Боливар - Сан-Хосе,5.38,https://www.myscore.com.ua/match/K4HvBjc8/#match-summary,
7,Васко да Гама - Бангу,3.02,https://www.myscore.com.ua/match/4psrNcCM/#match-summary,
8,Фредерисия - Люнгбю,2.06,https://www.myscore.com.ua/match/KWqryAQ4/#match-summary,
9,Мальорка - Реус Депортиу,6.67,https://www.myscore.com.ua/match/Qw4fsxEr/#match-summary,
10,Эльче - Кордоба,4.07,https://www.myscore.com.ua/match/GSd7vzb1/#match-summary,
11,Асколи - Пескара,2.35,https://www.myscore.com.ua/match/vwQOIJXa/#match-summary,
12,Про Пьяченца - Понтедера,1.98,https://www.myscore.com.ua/match/EmMVwU9r/#match-summary,
13,Далянь Ифан - Тяньцзинь Тэда,3.44,https://www.myscore.com.ua/match/pl0TA5Nb/#match-summary,
14,Дордой Бишкек - Akademiy Futbola,4.59,https://www.myscore.com.ua/match/UkRhco5g/#match-summary,
15,Прогрес Нидеркорн - Фола,3.25,https://www.myscore.com.ua/match/dnKGeHsq/#match-summary,
16,Расинг Люксембург - Мондорф,2.17,https://www.myscore.com.ua/match/W4CThFR1/#match-summary,
17,Пьета Хотспурс - Сент Эндрюс,2.23,https://www.myscore.com.ua/match/p2Dl1okE/#match-summary,
18,Тигрес - Пумас,3.96,https://www.myscore.com.ua/match/AJiUoVZ8/#match-summary,
19,Насарава - Ifeanyi Ubah,4.7,https://www.myscore.com.ua/match/hlQRDvNI/#match-summary,
20,Эммен - Херенвен,1.64,https://www.myscore.com.ua/match/8vPl4fK6/#match-summary,
21,Венло - Фейеноорд,2.23,https://www.myscore.com.ua/match/46Ic2YlJ/#match-summary,
22,Витесс - ПСВ,2.51,https://www.myscore.com.ua/match/I96uRHRJ/#match-summary,
23,Мольде - Стабек,3.0,https://www.myscore.com.ua/match/f1zTkjMT/#match-summary,
24,Тромсё - Викинг,1.86,https://www.myscore.com.ua/match/MmEt9DMi/#match-summary,
25,Ерв - Стреммен,2.3,https://www.myscore.com.ua/match/YobCfnx2/#match-summary,
26,Нотодден - Шейд,2.22,https://www.myscore.com.ua/match/rHu3H9qF/#match-summary,
27,Гарсиласо - Альянса Лима,3.07,https://www.myscore.com.ua/match/KrrNz9Rk/#match-summary,
28,Гурник Забже - Легия,1.67,https://www.myscore.com.ua/match/GGbrbuS8/#match-summary,
29,Катовице - Хробры Глогув,2.62,https://www.myscore.com.ua/match/EHs7FOAk/#match-summary,
30,Подбескидзе - Тыхы 71,3.47,https://www.myscore.com.ua/match/0nPExeCo/#match-summary,
31,Локомотив Москва - Зенит,2.98,https://www.myscore.com.ua/match/ImybOWMC/#match-summary,
32,Зенит 2 - Сибирь,3.3,https://www.myscore.com.ua/match/GQ3LEchD/#match-summary,
33,Филадельфия Юнион - Даллас,2.64,https://www.myscore.com.ua/match/8bJ0W85t/#match-summary,
34,Лос-Анджелес Галакси 2 - Талса Рафнекс,2.72,https://www.myscore.com.ua/match/vDn0K29o/#match-summary,
35,Оранж Каунти СК - Колорадо Спрингс,2.64,https://www.myscore.com.ua/match/jcgIeJWp/#match-summary,
36,Чарлстон - Шарлотт Индепенд.,3.07,https://www.myscore.com.ua/match/I3o4JMOi/#match-summary,
37,Бен Гердан - Митлави,3.71,https://www.myscore.com.ua/match/Uo1BXE1R/#match-summary,
38,Пеньяроль - Данубио,6.76,https://www.myscore.com.ua/match/6oT6sRp4/#match-summary,
39,ТБ/ФКС/Ройн - Стреймур,3.32,https://www.myscore.com.ua/match/YRoGJYK5/#match-summary,
40,АБ Аргир - Скала Итроттарфелаг,2.54,https://www.myscore.com.ua/match/GjyLIhzC/#match-summary,
41,Лахти - КуПС,1.6,https://www.myscore.com.ua/match/0EFdeiB2/#match-summary,
42,Сигма - Карвина,3.66,https://www.myscore.com.ua/match/403t0kmr/#match-summary,
43,Сьон - Люцерн,2.07,https://www.myscore.com.ua/match/0G8RXiXR/#match-summary,
44,Янг Бойз - Тун,3.03,https://www.myscore.com.ua/match/IeegTBuq/#match-summary,
45,Гётеборг - Эльфсборг,1.62,https://www.myscore.com.ua/match/d22QLQ2C/#match-summary,
46,ИК Фрей - Сюрианска,2.57,https://www.myscore.com.ua/match/OI56AniD/#match-summary,
47,Таммека - Левадия,1.66,https://www.myscore.com.ua/match/GdldX6Ns/#match-summary,
48,Шкупи - Работнички,3.63,https://www.myscore.com.ua/match/vauS6HoE/#match-summary,
