id,strategy,country,team,point,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
0,2,ГЕРМАНИЯ: Бундеслига,Вольфсбург - Майнц,"{'ВОЛЬФСБУРГ': 6, 'МАЙНЦ': 9}",16.02.2019 16:30,https://www.myscore.com.ua/match/xn5cLTEb/#match-summary,,,,,
1,2,ГЕРМАНИЯ: Бундеслига,Шальке - Фрайбург,"{'ШАЛЬКЕ': 7, 'ФРАЙБУРГ': 6}",16.02.2019 16:30,https://www.myscore.com.ua/match/00vT5lFB/#match-summary,,,,,
2,2,ГЕРМАНИЯ: Бундеслига,Герта - Вердер,"{'ГЕРТА': 8, 'ВЕРДЕР': 7}",16.02.2019 19:30,https://www.myscore.com.ua/match/4Y6kNkpn/#match-summary,,,,,
3,2,ИСПАНИЯ: Примера,Райо Вальекано - Атлетико,"{'РАЙО ВАЛЬЕКАНО': 5, 'АТЛЕТИКО': 7}",16.02.2019 17:15,https://www.myscore.com.ua/match/ENjT7jK8/#match-summary,,,,,
4,2,ФРАНЦИЯ: Первая лига,Монако - Нант,"{'МОНАКО': 7, 'НАНТ': 3}",16.02.2019 21:00,https://www.myscore.com.ua/match/bZjTuaf5/#match-summary,,,,,
5,2,АВСТРИЯ: Кубок Австрии,ЛАСК - Санкт-Пёльтен,"{'ЛАСК': 9, 'САНКТ-ПЁЛЬТЕН': 4}",16.02.2019 13:00,https://www.myscore.com.ua/match/tKZ4RYPr/#match-summary,,,,,
6,2,АНГЛИЯ: Первая лига,Саутенд Юнайтед - Портсмут,"{'САУТЕНД ЮНАЙТЕД': 4, 'ПОРТСМУТ': 1}",16.02.2019 14:30,https://www.myscore.com.ua/match/tWeuARBb/#match-summary,,,,,
7,2,АНГЛИЯ: Первая лига,Ковентри Сити - Уоллсол,"{'КОВЕНТРИ СИТИ': 2, 'УОЛЛСОЛ': 5}",16.02.2019 17:00,https://www.myscore.com.ua/match/fZZ9fnCB/#match-summary,,,,,
8,2,АНГЛИЯ: Вторая лига,Гримсби - Челтенхэм,"{'ГРИМСБИ': 4, 'ЧЕЛТЕНХЭМ': 3}",16.02.2019 17:00,https://www.myscore.com.ua/match/UuMJZwMn/#match-summary,,,,,
9,2,АНГЛИЯ: Вторая лига,Карлайл Юнайтед - Милтон Кинс,"{'КАРЛАЙЛ ЮНАЙТЕД': 6, 'МИЛТОН КИНС': 5}",16.02.2019 17:00,https://www.myscore.com.ua/match/dhi5GGLO/#match-summary,,,,,
10,2,АНГЛИЯ: Вторая лига,Линкольн - Стивенейдж,"{'ЛИНКОЛЬН': 7, 'СТИВЕНЕЙДЖ': 4}",16.02.2019 17:00,https://www.myscore.com.ua/match/8WKNYcyg/#match-summary,,,,,
