id,strategy,country,team,point,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
0,2,ГЕРМАНИЯ: Бундеслига,Вердер - Штутгарт,"{'ВЕРДЕР': 6, 'ШТУТГАРТ': 2}",22.02.2019 21:30,https://www.myscore.com.ua/match/AghpCPyo/#match-summary,Yes,Вердер,2,"{'Вердер': 0, 'Штутгарт': 1}","{'Вердер': 1, 'Штутгарт': 1}"
1,2,ФРАНЦИЯ: Первая лига,Дижон - Сент-Этьен,"{'ДИЖОН': 4, 'СЕНТ-ЭТЬЕН': 6}",22.02.2019 20:00,https://www.myscore.com.ua/match/jPyqc0Pu/#match-summary,No,0,1,"{'Дижон': 0, 'Сент-Этьен': 0}","{'Дижон': 0, 'Сент-Этьен': 1}"
2,2,АВСТРАЛИЯ: Лига А,Централ Кост Маринерс - Брисбен Роар,"{'ЦЕНТРАЛ КОСТ МАРИНЕРС': 7, 'БРИСБЕН РОАР': 4}",22.02.2019 10:50,https://www.myscore.com.ua/match/AXr7s6r4/#match-summary,Yes,Централ Кост Маринерс,8,"{'Централ Кост Маринерс': 1, 'Брисбен Роар': 3}","{'Централ Кост Маринерс': 3, 'Брисбен Роар': 5}"
3,2,АВСТРАЛИЯ: НПЛ Виктория,Мельбурн Найтс - Альтона Мэджик,"{'МЕЛЬБУРН НАЙТС': 7, 'АЛЬТОНА МЭДЖИК': 6}",22.02.2019 10:45,https://www.myscore.com.ua/match/4ffypC9r/#match-summary,Yes,Мельбурн Найтс,7,"{'Мельбурн Найтс': 1, 'Альтона Мэджик': 1}","{'Мельбурн Найтс': 3, 'Альтона Мэджик': 3}"
4,2,АВСТРАЛИЯ: НПЛ Виктория,Паско Вейл - Бентли Гринс,"{'ПАСКО ВЕЙЛ': 5, 'БЕНТЛИ ГРИНС': 6}",22.02.2019 10:45,https://www.myscore.com.ua/match/bHguqWOl/#match-summary,Yes,Бентли Гринс,6,"{'Паско Вейл': 0, 'Бентли Гринс': 2}","{'Паско Вейл': 2, 'Бентли Гринс': 3}"
5,2,АВСТРАЛИЯ: НПЛ Виктория,Хьюм Сити - Окли Кэннонс,"{'ХЬЮМ СИТИ': 6, 'ОКЛИ КЭННОНС': 6}",22.02.2019 10:45,https://www.myscore.com.ua/match/2o89lh1R/#match-summary,Yes,Хьюм Сити,1,"{'Хьюм Сити': 1, 'Окли Кэннонс': 0}","{'Хьюм Сити': 1, 'Окли Кэннонс': 0}"
7,2,АВСТРИЯ: Бундеслига,ЛАСК - Аустрия,"{'ЛАСК': 10, 'АУСТРИЯ': 7}",22.02.2019 20:30,https://www.myscore.com.ua/match/6TZHyIGs/#match-summary,Yes,ЛАСК,2,"{'ЛАСК': 1, 'Аустрия': 0}","{'ЛАСК': 2, 'Аустрия': 0}"
9,2,АНГЛИЯ: Лига профессионального развития,Ноттингем Форест U23 - Лидс U23,"{'НОТТИНГЕМ ФОРЕСТ U23': 6, 'ЛИДС U23': 7}",22.02.2019 21:00,https://www.myscore.com.ua/match/jqzXq37P/#match-summary,Yes,Ноттингем Форест U23,3,"{'Ноттингем Форест U23': 2, 'Лидс U23': 0}","{'Ноттингем Форест U23': 2, 'Лидс U23': 1}"
10,2,АНГЛИЯ: Кубок Премьер,Фулхэм U23 - Рединг U23,"{'ФУЛХЭМ U23': 2, 'РЕДИНГ U23': 5}",22.02.2019 16:00,https://www.myscore.com.ua/match/IXSjLg3n/#match-summary,Yes,Фулхэм U23,2,"{'Фулхэм U23': 1, 'Рединг U23': 0}","{'Фулхэм U23': 2, 'Рединг U23': 0}"
11,2,АНГЛИЯ: Кубок Премьер,Халл Сити U23 - Суонси U23,"{'ХАЛЛ СИТИ U23': 5, 'СУОНСИ U23': 5}",22.02.2019 21:00,https://www.myscore.com.ua/match/lGNESdS9/#match-summary,Yes,Суонси U23,4,"{'Халл Сити U23': 0, 'Суонси U23': 1}","{'Халл Сити U23': 2, 'Суонси U23': 2}"
12,2,БЕЛЬГИЯ: Высшая лига,Гент - Стандард,"{'ГЕНТ': 6, 'СТАНДАРД': 6}",22.02.2019 21:30,https://www.myscore.com.ua/match/p8Y2O7bh/#match-summary,Yes,Гент,3,"{'Гент': 2, 'Стандард': 0}","{'Гент': 2, 'Стандард': 0}"
13,2,ИНДИЯ: Первый дивизион,Лайонг - Gokulam,"{'ЛАЙОНГ': 3, 'GOKULAM': 4}",22.02.2019 13:30,https://www.myscore.com.ua/match/EHXcm0RJ/#match-summary,Yes,Gokulam,2,"{'Лайонг': 0, 'Gokulam': 1}","{'Лайонг': 1, 'Gokulam': 1}"
