id,country,team,strategy 2,strategy 1,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,АНГЛИЯ: Премьер-лига,Тоттенхэм - Арсенал,"{'ТОТТЕНХЭМ': 1, 'АРСЕНАЛ': 7}","{'ТОТТЕНХЭМ': 2.25, 'АРСЕНАЛ': 2.5}",02.03.2019 14:30,https://www.myscore.com.ua/match/dWTSFWZg/#match-summary,,,,,
2,АНГЛИЯ: Премьер-лига,Борнмут - Манчестер Сити,"{'БОРНМУТ': 4, 'МАНЧЕСТЕР СИТИ': 7}","{'БОРНМУТ': 10.25, 'МАНЧЕСТЕР СИТИ': 4.5}",02.03.2019 17:00,https://www.myscore.com.ua/match/Qkp9aBkD/#match-summary,,,,,
3,АНГЛИЯ: Премьер-лига,Вест Хэм - Ньюкасл Юнайтед,"{'ВЕСТ ХЭМ': 4, 'НЬЮКАСЛ ЮНАЙТЕД': 5}","{'ВЕСТ ХЭМ': 3.0, 'НЬЮКАСЛ ЮНАЙТЕД': 1.0}",02.03.2019 19:30,https://www.myscore.com.ua/match/4dXzEA46/#match-summary,,,,,
4,АВСТРИЯ: Бундеслига,Санкт-Пёльтен - Рапид,"{'САНКТ-ПЁЛЬТЕН': 4, 'РАПИД': 6}","{'САНКТ-ПЁЛЬТЕН': 2.8, 'РАПИД': 3.5}",02.03.2019 18:00,https://www.myscore.com.ua/match/Egaekyos/#match-summary,,,,,
5,АНГЛИЯ: Чемпионшип,Брентфорд - КПР,"{'БРЕНТФОРД': 7, 'КПР': 3}","{'БРЕНТФОРД': 1.5, 'КПР': 2.0}",02.03.2019 17:00,https://www.myscore.com.ua/match/YR93MoGI/#match-summary,,,,,
6,АНГЛИЯ: Чемпионшип,Суонси - Болтон,"{'СУОНСИ': 4, 'БОЛТОН': 2}","{'СУОНСИ': 0.83, 'БОЛТОН': 2.25}",02.03.2019 17:00,https://www.myscore.com.ua/match/d2UrUizI/#match-summary,,,,,
7,АНГЛИЯ: Чемпионшип,Халл - Бирмингем,"{'ХАЛЛ': 7, 'БИРМИНГЕМ': 6}","{'ХАЛЛ': 1.33, 'БИРМИНГЕМ': 1.67}",02.03.2019 17:00,https://www.myscore.com.ua/match/CI87L5VO/#match-summary,,,,,
8,АНГЛИЯ: Вторая лига,Бьюри - Маклсфилд,"{'БЬЮРИ': 4, 'МАКЛСФИЛД': 10}","{'БЬЮРИ': 0.38, 'МАКЛСФИЛД': 1.07}",02.03.2019 17:00,https://www.myscore.com.ua/match/r5NT0GKo/#match-summary,,,,,
9,БЕЛЬГИЯ: Высшая лига,Остенде - Васланд-Беверен,"{'ОСТЕНДЕ': 6, 'ВАСЛАНД-БЕВЕРЕН': 6}","{'ОСТЕНДЕ': 0.5, 'ВАСЛАНД-БЕВЕРЕН': 0.5}",02.03.2019 21:00,https://www.myscore.com.ua/match/KrYoOb49/#match-summary,,,,,
10,БЕЛЬГИЯ: Высшая лига,Брюгге - Синт-Трёйден,"{'БРЮГГЕ': 3, 'СИНТ-ТРЁЙДЕН': 8}","{'БРЮГГЕ': 1.8, 'СИНТ-ТРЁЙДЕН': 0.62}",02.03.2019 21:30,https://www.myscore.com.ua/match/WMee1ycd/#match-summary,,,,,
11,БОЛГАРИЯ: Первая лига,Локомотив Пловдив - Берое,"{'ЛОКОМОТИВ ПЛОВДИВ': 4, 'БЕРОЕ': 7}","{'ЛОКОМОТИВ ПЛОВДИВ': 3.5, 'БЕРОЕ': 1.25}",02.03.2019 15:00,https://www.myscore.com.ua/match/rgPIyEJa/#match-summary,,,,,
12,БРАЗИЛИЯ: Чемпионат Кариока - Така Рио,Американо - Кабофринс,"{'АМЕРИКАНО': 5, 'КАБОФРИНС': 4}","{'АМЕРИКАНО': 4.0, 'КАБОФРИНС': 1.0}",02.03.2019 21:30,https://www.myscore.com.ua/match/OfyJqHDo/#match-summary,,,,,
13,БРАЗИЛИЯ: Чемпионат Кариока - Така Рио,Васко да Гама - Боавишта,"{'ВАСКО ДА ГАМА': 7, 'БОАВИШТА': 2}","{'ВАСКО ДА ГАМА': 1.75, 'БОАВИШТА': 5}",02.03.2019 21:30,https://www.myscore.com.ua/match/CxcZEaSa/#match-summary,,,,,
14,ВЬЕТНАМ: Лига V,Куангнам - Ha Noi FC,"{'КУАНГНАМ': 5, 'HA NOI FC': 4}","{'КУАНГНАМ': 11.5, 'HA NOI FC': 3.0}",02.03.2019 12:00,https://www.myscore.com.ua/match/tKwSP9Xh/#match-summary,,,,,
15,ВЬЕТНАМ: Лига V,Куангнинь - Сонглам Нгеан,"{'КУАНГНИНЬ': 5, 'СОНГЛАМ НГЕАН': 7}","{'КУАНГНИНЬ': 6.12, 'СОНГЛАМ НГЕАН': 0.75}",02.03.2019 12:00,https://www.myscore.com.ua/match/SGZNQkIn/#match-summary,,,,,
16,ГЕРМАНИЯ: Северная региональная лига,Еддело - Эгесторф-Лангредер,"{'ЕДДЕЛО': 5, 'ЭГЕСТОРФ-ЛАНГРЕДЕР': 3}","{'ЕДДЕЛО': 1.0, 'ЭГЕСТОРФ-ЛАНГРЕДЕР': 0.67}",02.03.2019 16:00,https://www.myscore.com.ua/match/Ui6lLdHT/#match-summary,,,,,
17,ГЕРМАНИЯ: Юго-западная региональная лига,Ульм - Ворматия Вормс,"{'УЛЬМ': 5, 'ВОРМАТИЯ ВОРМС': 3}","{'УЛЬМ': 0.87, 'ВОРМАТИЯ ВОРМС': 1.25}",02.03.2019 15:00,https://www.myscore.com.ua/match/nqXdnA48/#match-summary,,,,,
18,ГЕРМАНИЯ: Региональная лига Бавария,Ингольштадт II - Иллертиссен,"{'ИНГОЛЬШТАДТ II': 4, 'ИЛЛЕРТИССЕН': 3}","{'ИНГОЛЬШТАДТ II': 0.82, 'ИЛЛЕРТИССЕН': 0.25}",02.03.2019 15:00,https://www.myscore.com.ua/match/QgvDekb0/#match-summary,,,,,
19,ГЕРМАНИЯ: Региональная лига Бавария,Хаймштеттен - Бюхбах,"{'ХАЙМШТЕТТЕН': 6, 'БЮХБАХ': 4}","{'ХАЙМШТЕТТЕН': 0.21, 'БЮХБАХ': 1.67}",02.03.2019 17:00,https://www.myscore.com.ua/match/0CWPhmrJ/#match-summary,,,,,
20,ГИБРАЛТАР: Премьер-Дивизион,Линкольн Сити - Глэдс Юнайтед,"{'ЛИНКОЛЬН СИТИ': 7, 'ГЛЭДС ЮНАЙТЕД': 4}","{'ЛИНКОЛЬН СИТИ': 0.6, 'ГЛЭДС ЮНАЙТЕД': 1.79}",02.03.2019 19:15,https://www.myscore.com.ua/match/MXTzxf9p/#match-summary,,,,,
21,ЕВРОПА: Премьер-лига (Крым),Океан - ТСК-Таврия,"{'ОКЕАН': 8, 'ТСК-ТАВРИЯ': 8}","{'ОКЕАН': 1.75, 'ТСК-ТАВРИЯ': 1.17}",02.03.2019 14:00,https://www.myscore.com.ua/match/bciMkt7D/#match-summary,,,,,
22,КИТАЙ: Суперлига,Шеньчжэнь - Хэбэй Илиньшаньчжуан,"{'ШЕНЬЧЖЭНЬ': 8, 'ХЭБЭЙ ИЛИНЬШАНЬЧЖУАН': 3}","{'ШЕНЬЧЖЭНЬ': 2.25, 'ХЭБЭЙ ИЛИНЬШАНЬЧЖУАН': 7.38}",02.03.2019 14:00,https://www.myscore.com.ua/match/vkrprGme/#match-summary,,,,,
23,МЕКСИКА: Высший дивизион - Клаусура,Тихуана - Атлас,"{'ТИХУАНА': 5, 'АТЛАС': 3}","{'ТИХУАНА': 0.54, 'АТЛАС': 1.25}",02.03.2019 05:00,https://www.myscore.com.ua/match/jFh0fdN4/#match-summary,,,,,
24,ПАРАГВАЙ: Первый дивизион - Апертура,Хенераль Диас - Олимпия Асунсьон,"{'ХЕНЕРАЛЬ ДИАС': 3, 'ОЛИМПИЯ АСУНСЬОН': 7}","{'ХЕНЕРАЛЬ ДИАС': 2.06, 'ОЛИМПИЯ АСУНСЬОН': 1.0}",02.03.2019 23:45,https://www.myscore.com.ua/match/phYxe0La/#match-summary,,,,,
25,ПОЛЬША: Первый дивизион,Стомиль Ольштын - Тыхы 71,"{'СТОМИЛЬ ОЛЬШТЫН': 5, 'ТЫХЫ 71': 2}","{'СТОМИЛЬ ОЛЬШТЫН': 0.3, 'ТЫХЫ 71': 0.56}",02.03.2019 17:00,https://www.myscore.com.ua/match/UiOSeId2/#match-summary,,,,,
26,ПОЛЬША: Дивизион 2,Знич - Погон Седльце,"{'ЗНИЧ': 5, 'ПОГОН СЕДЛЬЦЕ': 4}","{'ЗНИЧ': 5.5, 'ПОГОН СЕДЛЬЦЕ': 0.67}",02.03.2019 19:00,https://www.myscore.com.ua/match/WEuuK8C2/#match-summary,,,,,
27,САУДОВСКАЯ АРАВИЯ: Премьер-лига,Al-Hazem - Аль-Фейха,"{'AL-HAZEM': 3, 'АЛЬ-ФЕЙХА': 3}","{'AL-HAZEM': 2.12, 'АЛЬ-ФЕЙХА': 0.47}",02.03.2019 15:00,https://www.myscore.com.ua/match/SYCfjptI/#match-summary,,,,,
28,СЕВЕРНАЯ ИРЛАНДИЯ: Премьер-лига,Гленавон - Клифтонвилл,"{'ГЛЕНАВОН': 2, 'КЛИФТОНВИЛЛ': 3}","{'ГЛЕНАВОН': 1.75, 'КЛИФТОНВИЛЛ': 2.62}",02.03.2019 17:00,https://www.myscore.com.ua/match/OULUb8XN/#match-summary,,,,,
29,СЕВЕРНАЯ ИРЛАНДИЯ: Кубок Северной Ирландии,Данганнон - Баллинамаллард,"{'ДАНГАННОН': 6, 'БАЛЛИНАМАЛЛАРД': 6}","{'ДАНГАННОН': 0.5, 'БАЛЛИНАМАЛЛАРД': 1.1}",02.03.2019 17:00,https://www.myscore.com.ua/match/hzsUvXTD/#match-summary,,,,,
30,СЕВЕРНАЯ ИРЛАНДИЯ: Кубок Северной Ирландии,Крусейдерс - Баллимина,"{'КРУСЕЙДЕРС': 5, 'БАЛЛИМИНА': 8}","{'КРУСЕЙДЕРС': 1.5, 'БАЛЛИМИНА': 0.73}",02.03.2019 17:00,https://www.myscore.com.ua/match/d8RkRDaE/#match-summary,,,,,
31,СЛОВАКИЯ: Первая лига,Тренчин - Подбрезова,"{'ТРЕНЧИН': 6, 'ПОДБРЕЗОВА': 4}","{'ТРЕНЧИН': 1.4, 'ПОДБРЕЗОВА': 1.07}",02.03.2019 16:30,https://www.myscore.com.ua/match/MinIO3Ur/#match-summary,,,,,
32,ТУРЦИЯ: Суперлига,Фенербахче - Ризеспор,"{'ФЕНЕРБАХЧЕ': 6, 'РИЗЕСПОР': 5}","{'ФЕНЕРБАХЧЕ': 1.92, 'РИЗЕСПОР': 0.38}",02.03.2019 18:00,https://www.myscore.com.ua/match/jyv0ZTUQ/#match-summary,,,,,
33,ТУРЦИЯ: 1. Lig,Османлыспор - Газиантеп,"{'ОСМАНЛЫСПОР': 5, 'ГАЗИАНТЕП': 5}","{'ОСМАНЛЫСПОР': 0.12, 'ГАЗИАНТЕП': 6.17}",02.03.2019 15:00,https://www.myscore.com.ua/match/C83AvmmL/#match-summary,,,,,
