id,country,team,strategy 2,strategy 1,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,АЗИЯ: Кубок АФК,Тэмпайнс (Син) - Ha Noi FC (Вье),"{'ТЭМПАЙНС': 7, 'HA NOI FC': 5}","{'ТЭМПАЙНС': 4.12, 'HA NOI FC': 1.53}",12.03.2019 13:30,https://www.myscore.com.ua/match/8tr1JxcF/#match-summary,No,0,2,"{'Тэмпайнс (Син)': 0, 'Ha Noi FC (Вье)': 0}","{'Тэмпайнс (Син)': 1, 'Ha Noi FC (Вье)': 1}"
2,АНГЛИЯ: Чемпионшип,Бристоль Сити - Ипсвич Таун,"{'БРИСТОЛЬ СИТИ': 2, 'ИПСВИЧ ТАУН': 2}","{'БРИСТОЛЬ СИТИ': 0.5, 'ИПСВИЧ ТАУН': 0.42}",12.03.2019 21:45,https://www.myscore.com.ua/match/joyt5Pqh/#match-summary,Yes,Бристоль Сити,1,"{'Бристоль Сити': 1, 'Ипсвич Таун': 0}","{'Бристоль Сити': 1, 'Ипсвич Таун': 0}"
3,АНГЛИЯ: Первая лига,Ковентри Сити - Флитвуд,"{'КОВЕНТРИ СИТИ': 2, 'ФЛИТВУД': 4}","{'КОВЕНТРИ СИТИ': 0.92, 'ФЛИТВУД': 0.67}",12.03.2019 21:45,https://www.myscore.com.ua/match/xYN1vUM6/#match-summary,Yes,Ковентри Сити,3,"{'Ковентри Сити': 2, 'Флитвуд': 1}","{'Ковентри Сити': 2, 'Флитвуд': 1}"
4,АНГЛИЯ: Первая лига,Сканторп Юнайтед - Саутенд Юнайтед,"{'СКАНТОРП ЮНАЙТЕД': 2, 'САУТЕНД ЮНАЙТЕД': 6}","{'СКАНТОРП ЮНАЙТЕД': 0.58, 'САУТЕНД ЮНАЙТЕД': 3.0}",12.03.2019 21:45,https://www.myscore.com.ua/match/lUQl0BqQ/#match-summary,Yes,Сканторп Юнайтед,5,"{'Сканторп Юнайтед': 1, 'Саутенд Юнайтед': 1}","{'Сканторп Юнайтед': 4, 'Саутенд Юнайтед': 1}"
5,АНГЛИЯ: Вторая лига,Линкольн - Олдхэм,"{'ЛИНКОЛЬН': 7, 'ОЛДХЭМ': 5}","{'ЛИНКОЛЬН': 0.62, 'ОЛДХЭМ': 0.79}",12.03.2019 21:45,https://www.myscore.com.ua/match/INXp30n1/#match-summary,Yes,Линкольн,2,"{'Линкольн': 1, 'Олдхэм': 0}","{'Линкольн': 2, 'Олдхэм': 0}"
6,АНГЛИЯ: Вторая лига,Стивенейдж - Свиндон Таун,"{'СТИВЕНЕЙДЖ': 2, 'СВИНДОН ТАУН': 6}","{'СТИВЕНЕЙДЖ': 2.62, 'СВИНДОН ТАУН': 1.0}",12.03.2019 21:45,https://www.myscore.com.ua/match/6qEuPs9K/#match-summary,Yes,Стивенейдж,2,"{'Стивенейдж': 1, 'Свиндон Таун': 0}","{'Стивенейдж': 1, 'Свиндон Таун': 0}"
7,ГЕРМАНИЯ: Юго-западная региональная лига,Ульм - Эльфсберг,"{'УЛЬМ': 5, 'ЭЛЬФСБЕРГ': 4}","{'УЛЬМ': 3.25, 'ЭЛЬФСБЕРГ': 0.33}",12.03.2019 19:30,https://www.myscore.com.ua/match/p0jKkqB0/#match-summary,No,0,1,"{'Ульм': 0, 'Эльфсберг': 0}","{'Ульм': 1, 'Эльфсберг': 0}"
8,ГЕРМАНИЯ: Юго-западная региональная лига,Steinbach Haiger - Штутгарт II,"{'STEINBACH HAIGER': 3, 'ШТУТГАРТ II': 3}","{'STEINBACH HAIGER': 1.07, 'ШТУТГАРТ II': 0.17}",12.03.2019 19:30,https://www.myscore.com.ua/match/M1ouamlE/#match-summary,Yes,Steinbach Haiger,4,"{'Steinbach Haiger': 1, 'Штутгарт II': 0}","{'Steinbach Haiger': 2, 'Штутгарт II': 2}"
9,МИР: Клубные товарищеские матчи,Лиллестрём (Нор) - Мольде (Нор),"{'ЛИЛЛЕСТРЁМ': 7, 'МОЛЬДЕ': 7}","{'ЛИЛЛЕСТРЁМ': 0.53, 'МОЛЬДЕ': 0.58}",12.03.2019 17:00,https://www.myscore.com.ua/match/SfKFYypf/#match-summary,Yes,Мольде (Нор),2,"{'Лиллестрём (Нор)': 0, 'Мольде (Нор)': 1}","{'Лиллестрём (Нор)': 1, 'Мольде (Нор)': 1}"
10,ПАРАГВАЙ: Первый дивизион - Апертура,Насьональ Асунсьон - Хенераль Диас,"{'НАСЬОНАЛЬ АСУНСЬОН': 3, 'ХЕНЕРАЛЬ ДИАС': 3}","{'НАСЬОНАЛЬ АСУНСЬОН': 1.08, 'ХЕНЕРАЛЬ ДИАС': 0.97}",12.03.2019 00:15,https://www.myscore.com.ua/match/dfKIeXBA/#match-summary,Yes,Насьональ Асунсьон,1,"{'Насьональ Асунсьон': 1, 'Хенераль Диас': 0}","{'Насьональ Асунсьон': 1, 'Хенераль Диас': 0}"
11,ТУРКМЕНИСТАН: Йокары-лига,Алтын Асыр - ФК Балкан,"{'АЛТЫН АСЫР': 7, 'ФК БАЛКАН': 8}","{'АЛТЫН АСЫР': 0.67, 'ФК БАЛКАН': 4.05}",12.03.2019 16:00,https://www.myscore.com.ua/match/61PrOdq2/#match-summary,No,0,0,"{'Алтын Асыр': 0, 'ФК Балкан': 0}","{'Алтын Асыр': 0, 'ФК Балкан': 0}"
12,ШОТЛАНДИЯ: Чемпионшип,Росс Каунти - Фолкирк,"{'РОСС КАУНТИ': 4, 'ФОЛКИРК': 6}","{'РОСС КАУНТИ': 2.83, 'ФОЛКИРК': 0.58}",12.03.2019 21:45,https://www.myscore.com.ua/match/UwuzsLOu/#match-summary,Yes,Росс Каунти,3,"{'Росс Каунти': 2, 'Фолкирк': 0}","{'Росс Каунти': 2, 'Фолкирк': 1}"
