id,country,team,strategy 2,strategy 1,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,АНГЛИЯ: Премьер-лига,Вест Хэм - Саутгемптон,"{'ВЕСТ ХЭМ': 4, 'САУТГЕМПТОН': 6}","{'ВЕСТ ХЭМ': 0.29, 'САУТГЕМПТОН': 0.75}",04.05.2019 17:00,https://www.myscore.com.ua/match/OYBoAM4O/#match-summary
2,АНГЛИЯ: Премьер-лига,Ньюкасл Юнайтед - Ливерпуль,"{'НЬЮКАСЛ ЮНАЙТЕД': 5, 'ЛИВЕРПУЛЬ': 7}","{'НЬЮКАСЛ ЮНАЙТЕД': 3, 'ЛИВЕРПУЛЬ': 1.5}",04.05.2019 21:45,https://www.myscore.com.ua/match/fa7sB2kI/#match-summary
3,ГЕРМАНИЯ: Бундеслига,Вердер - Боруссия Д,"{'ВЕРДЕР': 4, 'БОРУССИЯ Д': 5}","{'ВЕРДЕР': 0.85, 'БОРУССИЯ Д': 1.12}",04.05.2019 19:30,https://www.myscore.com.ua/match/G2cAT6P8/#match-summary
4,ИСПАНИЯ: Примера,Алавес - Реал Сосьедад,"{'АЛАВЕС': 4, 'РЕАЛ СОСЬЕДАД': 6}","{'АЛАВЕС': 0.75, 'РЕАЛ СОСЬЕДАД': 0.75}",04.05.2019 19:30,https://www.myscore.com.ua/match/KzSLEDkq/#match-summary
5,АВСТРИЯ: Бундеслига - Группа вылета,Адмира - Рапид,"{'АДМИРА': 6, 'РАПИД': 6}","{'АДМИРА': 0.28, 'РАПИД': 1.0}",04.05.2019 18:00,https://www.myscore.com.ua/match/Cd3U8IHK/#match-summary
6,АНГЛИЯ: Первая лига,Портсмут - Аккрингтон,"{'ПОРТСМУТ': 7, 'АККРИНГТОН': 6}","{'ПОРТСМУТ': 1.17, 'АККРИНГТОН': 0.1}",04.05.2019 19:30,https://www.myscore.com.ua/match/0MscSro9/#match-summary
7,АНГЛИЯ: Вторая лига,Йовил - Карлайл Юнайтед,"{'ЙОВИЛ': 1, 'КАРЛАЙЛ ЮНАЙТЕД': 4}","{'ЙОВИЛ': 0.62, 'КАРЛАЙЛ ЮНАЙТЕД': 1.5}",04.05.2019 17:00,https://www.myscore.com.ua/match/YRgZSpvK/#match-summary
8,АНГЛИЯ: Вторая лига,Форест Грин - Эксетер Сити,"{'ФОРЕСТ ГРИН': 5, 'ЭКСЕТЕР СИТИ': 6}","{'ФОРЕСТ ГРИН': 1.17, 'ЭКСЕТЕР СИТИ': 2.17}",04.05.2019 17:00,https://www.myscore.com.ua/match/fyZaEoPQ/#match-summary
9,БЕЛЬГИЯ: Высшая лига - Группа Лиги Европы,Серкль Брюгге - Сен-Жилуаз,"{'СЕРКЛЬ БРЮГГЕ': 3, 'СЕН-ЖИЛУАЗ': 6}","{'СЕРКЛЬ БРЮГГЕ': 1.63, 'СЕН-ЖИЛУАЗ': 0.71}",04.05.2019 21:00,https://www.myscore.com.ua/match/x63lND9I/#match-summary
10,ВЕНГРИЯ: Высшая лига,Дебрецен - Кишварда,"{'ДЕБРЕЦЕН': 4, 'КИШВАРДА': 6}","{'ДЕБРЕЦЕН': 0.57, 'КИШВАРДА': 0}",04.05.2019 18:00,https://www.myscore.com.ua/match/2Vi4bGkT/#match-summary
